,,,,,,Arabic,,,,Translations,,,,,,,,,,,,,,,,,,,,,,
noun,1,3,2,12,,ـهُما,,,36.m4a,"their, they two",,ان دونوں کا,,,,,,,,,,,,,,,,,,,,
noun,1,3,2,13,,ـكُمَا,,,37.m4a,"your, you two",,آپ دونوں کا,,,,,,,,,,,,,,,,,,,,
noun,1,4,2,1,,هُوَ,,,38.m4a,he,,وہ,,,,,,,,,,,,,,,,,,,,
noun,1,4,2,2,,هُم,,,39.m4a,they,,وہ سب,,,,,,,,,,,,,,,,,,,,
noun,1,4,2,3,,أنتَ,,,40.m4a,you for male,,آپ,,,,,,,,,,,,,,,,,,,,
noun,1,4,2,4,,أنتُم,,,41.m4a,you all for male,,آپ سب,,,,,,,,,,,,,,,,,,,,
noun,1,4,2,5,,أنَا,,,42.m4a,I,,میں,,,,,,,,,,,,,,,,,,,,
noun,1,4,2,6,,نَحنُ,,,43.m4a,we,,ہم,,,,,,,,,,,,,,,,,,,,
noun,1,4,2,7,,هِيَ,,,44.m4a,she,,وہ,,,,,,,,,,,,,,,,,,,,
noun,1,4,2,8,,هُنَّ,,,45.m4a,they,,وہ سب,,,,,,,,,,,,,,,,,,,,
noun,1,4,2,9,,أنتِ,,,46.m4a,you female,,آپ,,,,,,,,,,,,,,,,,,,,
noun,1,4,2,10,,أنتُنَّ,,,47.m4a,you all females,,آپ سب,,,,,,,,,,,,,,,,,,,,
noun,1,4,2,11,,هِيَ,,,48.m4a,"It, she, they (female",,وہ سب,,,,,,,,,,,,,,,,,,,,
noun,1,4,2,12,,هُمَا,,,49.m4a,those two,,وہ دونوں,,,,,,,,,,,,,,,,,,,,
noun,1,4,2,13,,أنتُما,,,50.m4a,you two,,آپ دونوں,,,,,,,,,,,,,,,,,,,,
noun,1,5,3,1,,فَوۡقَ,,,51.m4a,"Above, up",,اوپر,,,,,,,,,,,,,,,,,,,,
noun,1,5,3,2,,تَحْتَ,,,52.m4a,under,,نیچے,,,,,,,,,,,,,,,,,,,,
noun,1,5,3,3,,بَيْنَ أَيْدِي,,,53.m4a,in front of,,سامنے,,,,,,,,,,,,,,,,,,,,
noun,1,5,3,3,,بَيْنَ يَدَيْ,,,54.m4a,in front of,,سامنے,,,,,,,,,,,,,,,,,,,,
noun,1,5,3,4,,خَلۡف,,,55.m4a,"behind / back, after",,پیچھے,,,,,,,,,,,,,,,,,,,,
noun,1,5,3,5,,أَمَام,,,56.m4a,in front of,,سامنے,,,,,,,,,,,,,,,,,,,,
noun,1,5,3,6,,وَرَاء,,,57.m4a,behind,,پیچھے,,,,,,,,,,,,,,,,,,,,
noun,1,5,3,7,,يَمِيْن,,,58.m4a,right (hand),,دائیں,,,,,,,,,,,,,,,,,,,,
noun,1,5,3,7,,يَمِيْن، أیْمَان,,,59.m4a,right; oath,,دائیں، قسَم,,,,,,,,,,,,,,,,,,,,
noun,1,5,3,8,,شِمَال,,,60.m4a,Left (hand),,بائیں,,,,,,,,,,,,,,,,,,,,
noun,1,5,3,9,,بَيْنَ,,,61.m4a,between,,درمیان,,,,,,,,,,,,,,,,,,,,
noun,1,5,3,10,,حَوْلَ,,,62.m4a,around/ year,,اطراف,,,,,,,,,,,,,,,,,,,,
noun,1,5,3,11,,حَيْثُ,,,63.m4a,wherever,,جہاں، جس جگہ,,,,,,,,,,,,,,,,,,,,
noun,1,5,3,12,,أيْنَمَا,,,64.m4a,wherever,,جہاں,,,,,,,,,,,,,,,,,,,,
noun,1,5,3,13,,هٰهُنَا / هُنَالِكَ,,,65.m4a,here/there,,یہاں/وہاں,,,,,,,,,,,,,,,,,,,,
noun,1,6,3,1,,مَا,,,66.m4a,What? that which,,کیا، جو,,,,,,,,,,,,,,,,,,,,
noun,1,6,3,2,3226,مَنۡ,,,67.m4a,Who,,کون، جو,,,,,,,,,,,,,,,,,,,,
noun,1,6,3,3,,مَتَى,,,68.m4a,When,,کب، جب,,,,,,,,,,,,,,,,,,,,
noun,1,6,3,4,,أَيۡنَ,,,69.m4a,Where,,کہاں، جہاں,,,,,,,,,,,,,,,,,,,,
noun,1,6,3,5,,كَيۡفَ,,,70.m4a,How,,کیسے، جیسے,,,,,,,,,,,,,,,,,,,,
noun,1,6,3,6,,كَمۡ,,,71.m4a,How many/ much,,کتنا، جتنا,,,,,,,,,,,,,,,,,,,,
noun,1,6,3,7,,أَيُّ,,,72.m4a,Which? whatever,,کونسا، جو,,,,,,,,,,,,,,,,,,,,
noun,1,6,3,8,,أنَّى,,,73.m4a,How...? (mostly rhetorical),,کہاں سے، جہاں سے,,,,,,,,,,,,,,,,,,,,
noun,1,6,3,9,,أَ / هَلۡ,,,74.m4a,Is? Am? Are? Do? Have?,,کیا؟,,,,,,,,,,,,,,,,,,,,
noun,1,6,3,10,,مَاذا,,,75.m4a,what,,کیا؟,,,,,,,,,,,,,,,,,,,,
noun,1,6,3,11,,لِمَ,,,76.m4a,Why?,,کیوں؟,,,,,,,,,,,,,,,,,,,,
noun,1,6,3,11,,لِماذا,,,77.m4a,why?,,کیوں؟,,,,,,,,,,,,,,,,,,,,
noun,1,6,3,12,,لولا,,,78.m4a,"if not, why not?",,اگر نہ، کیوں نہیں؟,,,,,,,,,,,,,,,,,,,,
noun,1,6,3,13,,لِمَن,,,79.m4a,for who?,,کس کے لیے,,,,,,,,,,,,,,,,,,,,
noun,1,7,4,1,,ذُو، ذَا، ذِي,,,80.m4a,"endowed with, owner",,والا,,,,,,,,,,,,,,,,,,,,
noun,1,7,4,2,,ذَات,,,81.m4a,"endowed with, owner",,والی,,,,,,,,,,,,,,,,,,,,
noun,1,7,4,3,,أُولُواْ,,,82.m4a,"people of, owners of",,والے,,,,,,,,,,,,,,,,,,,,
noun,1,7,4,3,,أُولِي,,,83.m4a,"people of, owners of",,والے,,,,,,,,,,,,,,,,,,,,
noun,1,7,4,4,,أَهۡل,,,84.m4a,Family/ people of,,والا,,,,,,,,,,,,,,,,,,,,
noun,1,7,4,5,,اٰلِ,,,85.m4a,people/ Family of,,قوم؛ گھر کے لوگ، اتباع کرنے والے,,,,,,,,,,,,,,,,,,,,
noun,1,7,4,7,,نِعۡمَ,,,86.m4a,What an excellent!,,کیا ہی خوب، کیا ہی اچھا,,,,,,,,,,,,,,,,,,,,
noun,1,7,4,8,,بِئۡسَ,,,87.m4a,What an evil!,,کیا ہی بُرا,,,,,,,,,,,,,,,,,,,,
noun,1,7,4,9,,رَيْب,,,88.m4a,doubt,,شک,,,,,,,,,,,,,,,,,,,,
noun,1,7,4,10,,سُوْء / سَوْء,,,89.m4a,evil,,بُرا / قبیح,,,,,,,,,,,,,,,,,,,,
noun,1,7,4,11,,مِثۡل,,,90.m4a,"similar, Like",,جیسے,,,,,,,,,,,,,,,,,,,,
noun,1,7,4,12,,مَثَل,أَمْثَال,,91.m4a,"Example, similitude",,مثال,,,,,,,,,,,,,,,,,,,,
noun,1,7,4,13,,مِمَّنْ (مِنْ + مَنْ),,,92.m4a,than the one who; from those who,,(اس) سے جو,,,,,,,,,,,,,,,,,,,,
noun,1,8,4,1,,قبل,,,93.m4a,before,,پہلے,,,,,,,,,,,,,,,,,,,,
noun,1,8,4,2,,بَعد,,,94.m4a,After,,بعد,,,,,,,,,,,,,,,,,,,,
noun,1,8,4,3,,حِين,,,95.m4a,"time, period, at the time of",,وقت، مدت، گھڑی,,,,,,,,,,,,,,,,,,,,
noun,1,8,4,4,,إِذ,,,96.m4a,when,,جب,,,,,,,,,,,,,,,,,,,,
noun,1,8,4,5,,إِذا,,,97.m4a,when,,جب,,,,,,,,,,,,,,,,,,,,
noun,1,8,4,6,,ثُمَّ,,,98.m4a,then,,پھر,,,,,,,,,,,,,,,,,,,,
noun,1,8,4,7,,فَ,,,99.m4a,"then, thus, therefore",,پس، تو، پھر,,,,,,,,,,,,,,,,,,,,
noun,1,8,4,8,,بَل,,,100.m4a,"nay, rather, but, however",,بلکہ,,,,,,,,,,,,,,,,,,,,
noun,1,8,4,9,,عِنْدَ، لَدَى، لَدُنْ,,,101.m4a,"near, with",,پاس، نزدیک,,,,,,,,,,,,,,,,,,,,
noun,1,8,4,10,,لَئِن,,,102.m4a,indeed if,,واقعی اگر,,,,,,,,,,,,,,,,,,,,
noun,1,8,4,11,,إن، إلّا,,,103.m4a,"nothing, but",,نہیں...مگر,,,,,,,,,,,,,,,,,,,,
noun,1,8,4,12,,مَا، إلّا,,,104.m4a,"nothing, but",,نہیں...مگر,,,,,,,,,,,,,,,,,,,,
noun,1,8,4,13,,ألّا (أن + لا),,,105.m4a,"that.. Not,so as not to",,کہ نہیں,,,,,,,,,,,,,,,,,,,,
noun,1,9,5,1,,بِمَا,,,106.m4a,"with what, because",,(اس) پر جو، اس لیے کہ,,,,,,,,,,,,,,,,,,,,
noun,1,9,5,2,,عَمَّا,,,107.m4a,"about what, away from what",,(اس) سے جو، (اس کے) بارے میں جو,,,,,,,,,,,,,,,,,,,,
noun,1,9,5,3,,فِيمَا,,,108.m4a,in what,,(اس) میں جو,,,,,,,,,,,,,,,,,,,,
noun,1,9,5,4,,كَمَا,,,109.m4a,"as, just as",,جیسا کہ,,,,,,,,,,,,,,,,,,,,
noun,1,9,5,5,,لِمَا,,,110.m4a,"for what, for that which",,(اس کے) لیے جو,,,,,,,,,,,,,,,,,,,,
noun,1,9,5,6,,مِمَّا,,,111.m4a,"out of what, from that which",,(اس) سے جو,,,,,,,,,,,,,,,,,,,,
noun,1,9,5,7,,أمَّا,,,112.m4a,"as to, as for",,جو,,,,,,,,,,,,,,,,,,,,
noun,1,9,5,8,,إمَّا,,,113.m4a,"if, either / or",,اگر، یا,,,,,,,,,,,,,,,,,,,,
noun,1,9,5,9,,أنَّما,,,114.m4a,that,,بےشک، یہ کہ,,,,,,,,,,,,,,,,,,,,
noun,1,9,5,10,,إنَّما,,,115.m4a,"verily, only",,صرف، بےشک,,,,,,,,,,,,,,,,,,,,
noun,1,9,5,11,,كأنّما,,,116.m4a,as if,,گویا کہ,,,,,,,,,,,,,,,,,,,,
noun,1,9,5,12,,كُلّما,,,117.m4a,whenever,,جب بھی,,,,,,,,,,,,,,,,,,,,
noun,1,9,5,13,,لَمَّا,,,118.m4a,"the time when, not yet",,ابھی تک نہیں,,,,,,,,,,,,,,,,,,,,
noun,1,10,5,1,,بـِـ,,,119.m4a,"with, in, from,...",,ساتھ، سے، پر,,,,,,,,,,,,,,,,,,,,
noun,1,10,5,2,,عَنۡ,,,120.m4a,About,,سے، بارے میں,,,,,,,,,,,,,,,,,,,,
noun,1,10,5,3,,فِي,,,121.m4a,in,,میں,,,,,,,,,,,,,,,,,,,,
noun,1,10,5,4,,كَــ,,,122.m4a,As/ like,,جیسے,,,,,,,,,,,,,,,,,,,,
noun,1,10,5,5,,لِ، لَ,,,123.m4a,For (belongs to),,لیے,,,,,,,,,,,,,,,,,,,,
noun,1,10,5,6,,مِنۡ,,,124.m4a,from,,سے,,,,,,,,,,,,,,,,,,,,
noun,1,10,5,7,,إِلَى,,,125.m4a,"towards, to",,طرف، تک,,,,,,,,,,,,,,,,,,,,
noun,1,10,5,8,,تَ,,,126.m4a,By (of oath),,قسم ہے,,,,,,,,,,,,,,,,,,,,
noun,1,10,5,9,,حَتَّى,,,127.m4a,Until,,یہاں تک کہ، تاکہ,,,,,,,,,,,,,,,,,,,,
noun,1,10,5,10,,عَلَى,,,128.m4a,On,,پر، اوپر,,,,,,,,,,,,,,,,,,,,
noun,1,10,5,11,,وَ,,,129.m4a,And/ by(oath),,اور,,,,,,,,,,,,,,,,,,,,
noun,1,10,5,12,,مَعَ,,,130.m4a,With,,ساتھ,,,,,,,,,,,,,,,,,,,,
noun,1,10,5,13,,يَا، یٰٓاَيُّهَا,,,131.m4a,O!,,اُسے,,,,,,,,,,,,,,,,,,,,
noun,1,11,6,1,,قَد,,,132.m4a,indeed,,یقیناً,,,,,,,,,,,,,,,,,,,,
noun,1,11,6,2,,سَ,,,133.m4a,will (soon),,بہت جلد، عنقریب,,,,,,,,,,,,,,,,,,,,
noun,1,11,6,3,,سَوفَ,,,134.m4a,will (later on),,جلد,,,,,,,,,,,,,,,,,,,,
noun,1,11,6,4,,لَ () نَّ,,,135.m4a,will surely,,ضرور,,,,,,,,,,,,,,,,,,,,
noun,1,11,6,5,,لَقَد,,,136.m4a,"indeed, already",,البتہ، تحقیق,,,,,,,,,,,,,,,,,,,,
noun,1,11,6,6,,لَ,,,137.m4a,"indeed, surely",,ضرور (تاکید کے لیے),,,,,,,,,,,,,,,,,,,,
noun,1,11,6,7,,لِ، لْ,,,138.m4a,let sb should do,,چاہیے کہ,,,,,,,,,,,,,,,,,,,,
noun,1,11,6,8,,جِنّ,,,139.m4a,jinn,,جن، جنات,,,,,,,,,,,,,,,,,,,,
noun,1,11,6,9,,جُنُود,,,140.m4a,forces,,افواج، لشکر,,,,,,,,,,,,,,,,,,,,
noun,1,11,6,10,,ميّت، موتى,,,141.m4a,dead,,مردہ,,,,,,,,,,,,,,,,,,,,
noun,1,11,6,11,,إنس,,,142.m4a,mankind,,آدمی,,,,,,,,,,,,,,,,,,,,
noun,1,11,6,12,,بَعْض,,,143.m4a,some of,,کسی چیز کا جز یا حصہ,,,,,,,,,,,,,,,,,,,,
noun,1,11,6,13,,كُلّ,,,144.m4a,everyone,,ہر، سارے,,,,,,,,,,,,,,,,,,,,
noun,1,12,6,1,,إِنَّ,,,145.m4a,verily/ truly,,بےشک,,,,,,,,,,,,,,,,,,,,
noun,1,12,6,2,,أَنَّ,,,146.m4a,That (nouns),,کہ، بےشک,,,,,,,,,,,,,,,,,,,,
noun,1,12,6,3,,كأَنَّ,,,147.m4a,As if,,گویاکہ,,,,,,,,,,,,,,,,,,,,
noun,1,12,6,4,,لَكِنَّ (لَكِنْ),,,148.m4a,"But, however",,لیکن,,,,,,,,,,,,,,,,,,,,
noun,1,12,6,5,,لَعَلَّ,,,149.m4a,perhaps; so that,,شاید کہ,,,,,,,,,,,,,,,,,,,,
noun,1,12,6,6,,أَنۡ,,,150.m4a,to (in order to)/ That (verbs),,کہ,,,,,,,,,,,,,,,,,,,,
noun,1,12,6,7,,إِنۡ,,,151.m4a,If,,اگر,,,,,,,,,,,,,,,,,,,,
noun,1,12,6,8,,إیَّا,,,152.m4a,only,,ہی,,,,,,,,,,,,,,,,,,,,
noun,1,12,6,9,,عَسَی,,,153.m4a,perhaps,,ممکن ہے (کہ),,,,,,,,,,,,,,,,,,,,
noun,1,12,6,10,,لَوۡ,,,154.m4a,If,,اگر، کاش,,,,,,,,,,,,,,,,,,,,
noun,1,12,6,11,,أوْ,,,155.m4a,or,,یا,,,,,,,,,,,,,,,,,,,,
noun,1,12,6,12,,أمْ,,,156.m4a,or?,,یا؟,,,,,,,,,,,,,,,,,,,,
noun,1,12,6,13,,اَلْ,,,157.m4a,the,,,,,,,,,,,,,,,,,,,,,,
noun,1,13,7,1,971,رَبّ,,,158.m4a,"Lord, O Lord",,پروردگار، مالک، آقا,,,,,,,,,,,,,,,,,,,,
noun,1,13,7,2,57,رَحۡمٰن,,,159.m4a,Compassionate,,بڑا مہربان,,,,,,,,,,,,,,,,,,,,
noun,1,13,7,3,116,رَحِيم,,,160.m4a,(all-)Merciful,,ہمیشہ ہمیش رحم کرنے والا,,,,,,,,,,,,,,,,,,,,
noun,1,13,7,4,42,سَلَام,,,161.m4a,peace,,سلامتی، امان,,,,,,,,,,,,,,,,,,,,
noun,1,13,7,5,47,سَمِيْع,,,162.m4a,one who listens,,سننے والا,,,,,,,,,,,,,,,,,,,,
noun,1,13,7,6,10,شَكُوْر,,,163.m4a,grateful; appreciative,,بڑا شکرگزار، بڑا قدردان,,,,,,,,,,,,,,,,,,,,
noun,1,13,7,7,101,عَزِيز,,,164.m4a,(all-)Mighty,,غالب، زبردست,,,,,,,,,,,,,,,,,,,,
noun,1,13,7,8,107,عَظِيم,,,165.m4a,Supreme/ Great,,بڑا، بزرگ,,,,,,,,,,,,,,,,,,,,
noun,1,13,7,9,91,غَفُور,,,166.m4a,Most forgiving,,خوب معاف کرنے والا,,,,,,,,,,,,,,,,,,,,
noun,1,13,7,10,45,قَدِير,,,167.m4a,All powerful,,قدرت والے,,,,,,,,,,,,,,,,,,,,
noun,1,13,7,11,58,نَذِيْر,,,168.m4a,warner,,ڈرانے والا,,,,,,,,,,,,,,,,,,,,
noun,1,13,7,12,24,نَصِير,,,169.m4a,Strong helper,,مدد کرنے والا,,,,,,,,,,,,,,,,,,,,
noun,1,13,7,13,24,وَكِيل,,,170.m4a,The one who takes care of a thing for sb,,کارساز، ذمہ دار، نگہباں، مددگار,,,,,,,,,,,,,,,,,,,,
noun,1,14,7,1,82,أَوَّل,أُوْلٰی,,171.m4a,First,,پہلا,,,,,,,,,,,,,,,,,,,,
noun,1,14,7,2,40,آخِر,آخِرَة,,172.m4a,Last,,آخری,,,,,,,,,,,,,,,,,,,,
noun,1,14,7,3,66,اٰخَر,أُخرٰی,,173.m4a,other,,دوسرا,,,,,,,,,,,,,,,,,,,,
noun,1,14,7,4,14,أَمِيْن,,,174.m4a,trustworthy,,امانت دار، امن والا,,,,,,,,,,,,,,,,,,,,
noun,1,14,7,5,53,بَصِير,,,175.m4a,All-seeing / one who sees clearly,,دیکھنے جاننے والا,,,,,,,,,,,,,,,,,,,,
noun,1,14,7,6,25,بَعِيْد,,,176.m4a,far,,دُور,,,,,,,,,,,,,,,,,,,,
noun,1,14,7,7,11,تَوَّاب,,,177.m4a,Most forgiving,,خوب توبہ قبول کرنے والا,,,,,,,,,,,,,,,,,,,,
noun,1,14,7,8,26,حَفِيظ,,,178.m4a,Protector,,حفاظت کرنے والا,,,,,,,,,,,,,,,,,,,,
noun,1,14,7,9,97,حَكِيم,,,179.m4a,(All-)Wise,,حکمت والا,,,,,,,,,,,,,,,,,,,,
noun,1,14,7,10,15,حَلِيم,,,180.m4a,Forbearing,,بُردبار، تحمل والا,,,,,,,,,,,,,,,,,,,,
noun,1,14,7,11,17,حَمِيد,,,181.m4a,Praiseworthy,,تعریف کیا ہوا,,,,,,,,,,,,,,,,,,,,
noun,1,14,7,13,45,خَبِير,,,182.m4a,(all-)Ever aware,,ہر بات سے با خبر,,,,,,,,,,,,,,,,,,,,
noun,1,15,8,1,31,أَشَدّ,,,183.m4a,Severer/ stronger,,بہت سخت,,,,,,,,,,,,,,,,,,,,
noun,1,15,8,2,11,أعلٰى,,,184.m4a,"higher, superior",,بہت بلند,,,,,,,,,,,,,,,,,,,,
noun,1,15,8,3,49,أعلَم,,,185.m4a,"better-knowing, most informed",,بہت جاننے والا,,,,,,,,,,,,,,,,,,,,
noun,1,15,8,4,19,أقرَب,,,186.m4a,"nearer, nearest",,بہت قریب,,,,,,,,,,,,,,,,,,,,
noun,1,15,8,5,24,أكبَر,,,187.m4a,"bigger, biggest",,بہت بڑا,,,,,,,,,,,,,,,,,,,,
noun,1,15,8,6,80,أكثَر,,,188.m4a,"more, most",,بہت زیادہ,,,,,,,,,,,,,,,,,,,,
noun,1,15,8,7,36,أحسَنَ,,,189.m4a,"better, best",,بہت اچھا,,,,,,,,,,,,,,,,,,,,
noun,1,15,8,8,10,أحَقّ,,,190.m4a,"more entitled, most worthy",,بڑا حق دار,,,,,,,,,,,,,,,,,,,,
noun,1,15,8,9,12,أدنٰى,,,191.m4a,"nearer, lowest",,زیادہ نزدیک، کمتر,,,,,,,,,,,,,,,,,,,,
noun,1,15,8,10,16,أَظۡلَم,,,192.m4a,More unjust,,زیادہ ظالم,,,,,,,,,,,,,,,,,,,,
noun,1,15,8,11,7,أَهدٰى,,,193.m4a,better guided,,زیادہ ہدایت یافتہ,,,,,,,,,,,,,,,,,,,,
noun,1,15,8,12,11,أولٰى,,,194.m4a,"nearer, closest, woe",,زیادہ قریب، زیادہ لائق,,,,,,,,,,,,,,,,,,,,
noun,1,15,8,13,3,أَحَبَّ,,,195.m4a,more beloved,,زیادہ محبوب,,,,,,,,,,,,,,,,,,,,
noun,1,16,8,1,52,شَدِيد,,,196.m4a,Severe/ strong,,سخت,,,,,,,,,,,,,,,,,,,,
noun,1,16,8,2,11,عَلِيّ,,,197.m4a,Exalted (high),,بلند,,,,,,,,,,,,,,,,,,,,
noun,1,16,8,3,163,عَلِيم,,,198.m4a,(all-knowing) Knower,,خوب جاننے والا,,,,,,,,,,,,,,,,,,,,
noun,1,16,8,4,26,قَرِيب,,,199.m4a,near,,قریب,,,,,,,,,,,,,,,,,,,,
noun,1,16,8,5,47,كَبِير,,,200.m4a,Big/ Great,,بڑا,,,,,,,,,,,,,,,,,,,,
noun,1,16,8,6,74,كَثِير,,,201.m4a,Plenty,,زیادہ,,,,,,,,,,,,,,,,,,,,
noun,1,16,8,7,10,سَرِيع,,,202.m4a,Quick,,جلد,,,,,,,,,,,,,,,,,,,,
noun,1,16,8,8,8,قَهَار,,,203.m4a,"prevailing, irresistable",,سب پر پوری طرح غالب,,,,,,,,,,,,,,,,,,,,
noun,1,16,8,9,4,غَفَّار,,,204.m4a,oft-forgiving,,گناہوں کا بہت زیادہ بخشنے والا,,,,,,,,,,,,,,,,,,,,
noun,1,16,8,10,71,قَلِيل,,,205.m4a,Little/ Few,,تھوڑا,,,,,,,,,,,,,,,,,,,,
noun,1,16,8,11,27,كَرِيم,,,206.m4a,"noble, honorable, generous",,عزت والا,,,,,,,,,,,,,,,,,,,,
noun,1,16,8,12,7,لَطيف,,,207.m4a,subtle,,باریک بیں، مہربان,,,,,,,,,,,,,,,,,,,,
noun,1,16,8,13,3,وَهَّاب,,,208.m4a,bestower,,خوب عطا کرنے والا,,,,,,,,,,,,,,,,,,,,
noun,1,17,9,1,332,رَسُول,رُسُل,,209.m4a,Messenger(s),,بھیجا ہوا,,,,,,,,,,,,,,,,,,,,
noun,1,17,9,2,75,نَبِيّ,أنبياء,,210.m4a,Prophet,,نبی,,,,,,,,,,,,,,,,,,,,
noun,1,17,9,2,75,أَنْبِيَاء,,,211.m4a,prophets,,نبی,,,,,,,,,,,,,,,,,,,,
noun,1,17,9,2,75,نَبِيُّون,,,212.m4a,prophets,,نبی,,,,,,,,,,,,,,,,,,,,
noun,1,17,9,2,75,نَبِيِّيْن,,,213.m4a,prophets,,نبی,,,,,,,,,,,,,,,,,,,,
noun,1,17,9,3,137,إِبۡرَاهِـيْم,,,214.m4a,Abraham,,ابراہیم,,,,,,,,,,,,,,,,,,,,
noun,1,17,9,3,137,نُوح,,,215.m4a,Noah,,نوح,,,,,,,,,,,,,,,,,,,,
noun,1,17,9,3,137,آدَم,,,216.m4a,Adam,,آدم,,,,,,,,,,,,,,,,,,,,
noun,1,17,9,4,56,إِسۡمَاعِيل,,,217.m4a,Ishmael,,اسماعیل,,,,,,,,,,,,,,,,,,,,
noun,1,17,9,4,56,لُوط,,,218.m4a,Lot,,لوط,,,,,,,,,,,,,,,,,,,,
noun,1,17,9,4,56,إِسۡحَاق,,,219.m4a,Isaac,,اسحاق,,,,,,,,,,,,,,,,,,,,
noun,1,17,9,5,86,يُوسُف,,,220.m4a,Joseph,,یوسف,,,,,,,,,,,,,,,,,,,,
